Time,"Albany, New York ($)","Bronx, New York ($)","Broome, New York ($)","Cattaraugus, New York ($)","Cayuga, New York ($)","Chautauqua, New York ($)","Chemung, New York ($)","Chenango, New York ($)","Clinton, New York ($)","Columbia, New York ($)","Cortland, New York ($)","Delaware, New York ($)","Dutchess, New York ($)","Erie, New York ($)","Essex, New York ($)","Franklin, New York ($)","Fulton, New York ($)","Genesee, New York ($)","Greene, New York ($)","Hamilton, New York ($)","Herkimer, New York ($)","Jefferson, New York ($)","Kings, New York ($)","Lewis, New York ($)","Livingston, New York ($)","Madison, New York ($)","Monroe, New York ($)","Montgomery, New York ($)","Nassau, New York ($)","New York, New York ($)","Niagara, New York ($)","Oneida, New York ($)","Onondaga, New York ($)","Ontario, New York ($)","Orange, New York ($)","Orleans, New York ($)","Oswego, New York ($)","Otsego, New York ($)","Putnam, New York ($)","Queens, New York ($)","Rensselaer, New York ($)","Richmond, New York ($)","Rockland, New York ($)","Saint Lawrence, New York ($)","Saratoga, New York ($)","Schenectady, New York ($)","Schoharie, New York ($)","Schuyler, New York ($)","Seneca, New York ($)","Steuben, New York ($)","Suffolk, New York ($)","Sullivan, New York ($)","Tioga, New York ($)","Tompkins, New York ($)","Ulster, New York ($)","Warren, New York ($)","Washington, New York ($)","Wayne, New York ($)","Westchester, New York ($)","Wyoming, New York ($)","Yates, New York ($)"
Sep-17,239000,465000,119900,118000,136250,119900,120000,132900,153450,319000,124999,168000,311500,169900,199900,129000,135000,119950,219900,244000,128000,145750,879000,129900,138500,169900,145000,119950,599000,8970000,130000,139900,149900,225000,275000,99950,109900,159900,409900,645000,199900,574000,499900,99825,319900,168700,149900,159500,140000,129900,530000,164900,130000,249950,249900,245000,158700,128500,765000,99500,229900
Oct-17,245000,475000,119900,116000,129900,115900,119500,129000,150950,324900,119900,159999,315000,169900,199900,129450,129900,119900,224900,246500,122500,140000,899000,137500,136000,168000,139900,119000,598888,8950000,129900,139900,147500,229948,269900,99900,109900,160000,400000,655000,196950,569888,499999,99000,319900,164800,146500,162500,140000,129900,525000,169900,126500,259000,249000,239000,157000,129900,769000,94750,229900
Nov-17,239900,469000,115000,114950,135000,119000,114000,125000,146447,330000,119900,159000,310000,160000,199900,124900,134900,114900,229000,244000,114950,139900,907500,136950,139900,169900,139900,119900,599000,9000000,122800,134900,144900,229000,269900,99900,103700,169000,400000,649999,199000,585000,499999,98750,319400,169000,148000,163750,139900,134900,529000,169000,125000,250000,249000,245900,157000,129950,775000,93950,229900
Dec-17,235000,469000,114900,115950,127900,114650,107500,123150,139000,335000,119900,155000,314900,159900,197000,119900,129900,114900,229900,239250,112000,139900,928500,132000,134900,159900,139900,115000,594999,8950000,119000,130000,140000,220000,268000,95240,99995,165000,400000,648000,199000,579999,499999,99000,319400,160000,149900,159700,139900,132000,529999,165000,123000,248000,245000,246700,149950,129900,769000,89900,194500
Jan-18,239500,469000,112750,115000,124900,109900,101250,119950,135000,329000,119900,152500,307400,159900,197000,115000,134950,111744,235000,239000,99900,139900,915000,129900,129900,158000,139900,123700,588000,8400000,115000,129900,139900,237900,265000,99900,99900,160000,399900,649000,199900,585000,517000,98500,327900,159900,159900,167000,138500,129900,522100,165000,124250,232450,245000,249900,149900,129900,788500,98000,184900
Feb-18,241400,475000,109900,119900,125000,104900,99000,120950,139000,325000,119950,159000,304900,159900,199000,110000,129900,115450,239000,239000,107450,140000,925000,134900,129000,164500,144000,119000,599000,8972500,115000,129900,149000,241945,269900,102400,99900,159900,399000,659000,199900,588550,525000,99000,329000,160000,149900,178000,124900,129450,530000,165900,129900,233950,240000,257000,149900,130000,838000,89900,189450
Mar-18,239900,479000,110000,119900,133900,105450,99000,121250,139900,329500,119900,155000,320000,164900,195000,109000,129900,115000,239000,249000,114000,148000,949000,134900,129900,173700,149900,122950,599888,9245000,119900,135000,149900,245000,279900,99900,100706,159900,398736,676500,199000,588800,525000,99900,334100,164900,149900,183450,139950,129900,519990,172000,137200,258950,245250,249900,153000,139900,849900,99700,188900
Apr-18,237800,489000,119000,119900,139900,110000,109000,128500,154900,345000,119900,155000,325999,169900,199900,123900,139706,114900,245000,239250,114000,153500,949000,139500,139900,174900,159000,129450,623990,8950000,134000,139500,157000,249000,289000,107200,109900,159000,400000,699000,189950,595000,529000,105900,334900,169900,149900,179000,139950,129900,529000,179000,139900,255000,250000,259000,162500,144250,849900,100000,202000
May-18,239900,489000,125000,119000,147950,115900,116000,130000,160000,339900,120500,159950,334900,169900,207000,125000,149000,114950,245000,249000,110000,156700,949000,135000,149450,174900,159900,130000,638899,9500000,134900,139900,159900,249900,295000,104900,117700,165000,399950,729000,196700,589950,539900,110000,329900,170000,158900,179000,140000,129000,529000,185000,139500,258950,255000,255500,168350,147500,842995,109900,199900
Jun-18,239900,499000,129000,120000,149900,124900,114900,133450,163250,349000,122450,165000,339000,177399,220000,130000,149000,120000,240000,259000,119000,159900,937000,134900,159900,179900,159900,134700,639995,9600000,138900,144900,159900,243900,299900,109900,120000,177000,409500,749000,199900,599000,545000,114950,329900,179000,159900,177777,149900,125950,535000,185000,137750,254900,259800,253950,169999,147500,814000,114900,216378
Jul-18,249000,515000,127900,119900,154900,124739,119000,130000,162500,350000,127950,169000,338250,179900,235000,137500,149900,124900,249000,259000,129000,165000,900000,135000,154950,179900,159900,129900,640000,9500000,139900,142900,159900,239900,299500,112300,124900,179000,415000,746500,199900,598800,535000,115000,325000,179900,164900,179450,149900,129900,535000,189900,134900,249900,261900,258250,169999,139900,799000,112400,199900
Aug-18,249000,525000,124900,119000,154900,120000,119900,129900,160000,349900,124900,169000,330500,174900,229950,139700,151250,124900,249000,249000,129900,167900,899000,137250,158000,175000,159900,129900,635000,9500000,139900,139900,160000,249000,295000,111250,125000,169500,412900,739000,199900,590000,537000,115950,326150,179900,159900,179000,159000,129900,535000,189900,134900,245000,259900,253999,174900,139900,775000,118000,199900
Sep-18,246450,525000,124000,117000,155000,119900,116750,129900,159000,350000,124900,169000,335000,170000,224900,139500,148900,119900,249000,265000,129900,164900,915000,139500,149900,179000,154900,128500,629000,9500000,139900,139900,159900,244900,295000,113900,124900,174750,420000,738000,199900,599000,529950,119000,329900,176000,159900,179000,149900,129900,549000,189900,134900,237500,269000,249999,173900,138900,775000,119700,210000
Oct-18,247900,512751,119900,119900,149900,120000,109450,130000,153250,349900,124900,169900,329900,169900,219900,134900,149900,119900,249000,259000,118500,164000,899999,137250,144900,169900,150000,128500,629000,9250000,137400,139000,159000,244995,294888,114900,122900,178500,425000,739000,199500,599000,539900,109900,329900,174900,159450,179000,149450,129900,545000,189900,134500,237000,269900,249900,169000,139900,774901,119900,199400
Nov-18,244900,515000,119000,119900,149900,119625,99900,129900,149000,352500,119950,169900,329900,169900,220000,134400,147350,114900,245000,258000,118000,159900,899900,139500,144900,169900,149900,125000,624999,9500000,134900,134900,154900,249900,289900,99900,119000,179900,417000,729000,206000,599000,530000,109000,329900,174900,154900,175900,139900,129000,539900,189900,132900,235000,269900,249000,165800,139900,769000,119900,189900
Dec-18,249000,516000,115000,118900,145450,119500,99900,128900,139900,349000,115000,170000,327450,168000,210000,133900,139950,109900,249000,259000,119000,159900,899450,134900,143700,166500,149900,120000,619000,9375000,129000,129900,150000,253900,288900,99900,119000,179500,415000,729000,208688,599000,529000,109700,330400,169950,149950,171450,144950,124900,539999,189950,134900,234000,269900,244900,164900,135700,750000,109700,199900
Jan-19,249900,516999,114900,119000,138000,110000,99500,125000,135900,355000,115000,168450,329900,169000,199900,135000,139000,109900,249000,261250,119900,159900,898000,134900,139900,169900,149900,119900,618444,9350000,129000,129900,150000,259000,289000,99900,116000,179000,399999,699999,199948,589950,529000,105000,334000,174800,153846,169900,132000,125000,534950,189950,129990,235000,262000,244900,159900,139900,750000,109700,189000
Feb-19,249900,528000,114900,115750,134700,117000,104500,124950,139000,350000,115000,169700,329900,169900,199700,134950,136500,109900,244900,249000,119000,159000,928000,129900,139900,174900,149900,123950,625000,8900000,126900,129900,154900,259250,289000,99900,115500,180000,399000,706000,199900,599000,525000,108000,334000,175000,149900,173000,139900,125000,539000,185000,129900,249000,265000,249000,149900,139700,795000,99900,189900
Mar-19,249999,529000,118500,117000,144900,117950,109000,125000,148250,349000,115000,169000,339000,175000,214900,135900,139000,119000,239000,249500,120000,160000,949000,135900,149000,179900,154900,128250,635000,8750000,129000,129900,164818,255224,295000,99900,119000,185000,399900,738444,199900,599000,515000,115000,334980,172000,157500,171500,140000,130950,540000,189900,129900,260000,260000,249000,149450,145000,799000,105450,199900
Apr-19,249900,529000,123500,117900,159900,120000,118000,129900,152500,349000,119000,174950,339000,180000,212450,140000,142500,119900,239000,250000,125000,164900,959000,135900,159900,184900,164900,128000,649888,8750000,130000,134900,164900,259900,300000,109900,119000,194000,405000,749000,205225,599900,525000,116000,338900,179900,154900,169900,141200,129900,575000,199000,135000,261900,269900,259700,160950,149900,800000,109900,196000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher:," ""Zillow""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright:," ""The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
