Time,"Albany, New York (%)","Bronx, New York (%)","Broome, New York (%)","Cattaraugus, New York (%)","Cayuga, New York (%)","Chautauqua, New York (%)","Chemung, New York (%)","Chenango, New York (%)","Clinton, New York (%)","Columbia, New York (%)","Cortland, New York (%)","Delaware, New York (%)","Dutchess, New York (%)","Erie, New York (%)","Essex, New York (%)","Franklin, New York (%)","Fulton, New York (%)","Genesee, New York (%)","Greene, New York (%)","Herkimer, New York (%)","Jefferson, New York (%)","Kings, New York (%)","Livingston, New York (%)","Madison, New York (%)","Monroe, New York (%)","Montgomery, New York (%)","Nassau, New York (%)","New York, New York (%)","Niagara, New York (%)","Oneida, New York (%)","Onondaga, New York (%)","Ontario, New York (%)","Orange, New York (%)","Orleans, New York (%)","Oswego, New York (%)","Otsego, New York (%)","Putnam, New York (%)","Queens, New York (%)","Rensselaer, New York (%)","Richmond, New York (%)","Rockland, New York (%)","Saint Lawrence, New York (%)","Saratoga, New York (%)","Schenectady, New York (%)","Schoharie, New York (%)","Seneca, New York (%)","Steuben, New York (%)","Suffolk, New York (%)","Sullivan, New York (%)","Tioga, New York (%)","Tompkins, New York (%)","Ulster, New York (%)","Warren, New York (%)","Washington, New York (%)","Wayne, New York (%)","Westchester, New York (%)","Wyoming, New York (%)","Yates, New York (%)"
Jun-03,141400,261800,75600,59500,76100,68700,65400,65800,82000,155100,72800,86300,250500,97500,92700,58000,70600,84400,107800,66900,64800,349600,93300,84100,110700,63900,381000,,84000,77100,94100,110900,232000,76600,69700,82600,329500,346400,121500,323700,392400,53000,153400,112600,85400,72400,64600,332600,114500,72700,115200,177000,127000,84800,92700,507500,78000,83000
Jul-03,142800,263800,75600,60100,76100,69300,65500,65400,82300,157400,73600,87600,253000,98800,93800,58300,71100,84300,109000,67000,64700,358200,92900,84500,111200,64400,384900,,84300,77800,94700,112000,235500,76900,69400,83000,332600,349600,123000,327500,395400,53800,155500,113500,86000,73000,65000,336500,116300,72800,115800,180600,128000,85900,93300,511500,78200,83500
Aug-03,144400,267400,75600,60600,76800,69700,65700,64500,82400,159800,74600,89000,255400,100200,94900,58500,71800,84100,110400,67100,64200,364400,92200,84800,111800,64900,388600,,84700,78400,95300,113000,238700,77200,69100,83600,336100,352600,124600,330800,398200,54700,157800,114600,86700,73700,65200,340200,117800,73100,117000,183600,128900,87100,93800,514400,78600,83900
Sep-03,146300,271800,75600,61000,77900,70000,66100,63500,82600,162500,75700,90400,257600,101500,96000,58800,72500,83900,112000,67300,63600,368400,91500,85200,112300,65500,392200,,85200,79000,96000,113900,241600,77500,68500,84100,340000,356200,126000,333600,400900,55300,160300,115900,87500,74400,65000,343700,118500,73400,118600,186400,129900,88400,94100,516500,79200,84200
Oct-03,148500,276000,75700,61000,79000,70000,66600,62600,83000,165200,76900,91900,259800,102500,97100,58900,73300,83700,113700,67500,63200,371300,91100,85500,112800,66000,395800,,85700,79600,96700,114600,244200,77600,67700,84600,344200,360400,127400,336100,403800,55600,162700,117400,88100,75100,64700,347200,118300,73600,120300,188900,131000,89700,94300,518100,79800,84600
Nov-03,150900,279800,75900,60900,79600,69700,67100,62300,83400,167800,78000,93500,262000,103200,98100,59000,74100,83600,115300,67600,63300,374000,91200,85700,113100,66500,399400,,86200,80200,97400,115200,246400,77500,67000,85100,348700,365100,128600,338500,406800,55600,164900,119000,88600,75700,64300,350800,117600,73800,121900,191200,132100,90900,94200,519400,80200,84800
Dec-03,153200,283300,76100,60700,79800,69300,67700,62400,84000,170200,79200,95000,264300,103800,99000,59100,74900,83700,116900,67600,63800,377200,91800,85900,113400,66800,403200,,86500,80800,97900,115900,248500,77300,66400,85400,353200,370100,129600,340900,410000,55400,166800,120500,89100,76200,64200,354200,116900,74000,123200,193200,133000,92100,94000,520700,80600,84900
Jan-04,155300,286600,76300,60700,79800,69100,68200,62800,84700,172600,80400,96500,266500,104200,99800,59200,75600,84000,118600,67600,64500,381000,92800,85900,113500,67200,407100,,86700,81600,98300,116400,250700,77200,66100,85800,357700,374600,130700,343500,413400,55300,168500,121600,89800,76600,64200,357700,116900,74200,124500,194700,133800,93500,93900,522600,80900,85000
Feb-04,156900,290200,76600,60700,79800,69000,68700,63400,85400,175200,81600,98200,268900,104600,100600,59400,76400,84200,120400,67600,65200,385200,93800,86000,113800,67600,410900,,86800,82500,98700,116900,253000,77300,66000,86300,362100,378600,131700,346300,417300,55500,170200,122600,90700,77000,64200,361100,117800,74500,125700,195700,134300,95100,93900,525300,81000,85100
Mar-04,158200,294100,77000,61000,80000,69000,69200,64100,86000,178000,82900,99900,271200,105000,101600,59700,77100,84400,122400,67700,66000,389200,94800,86100,114200,68100,414700,,86800,83400,99000,117100,255500,77500,66200,87000,366500,382500,132800,349300,421400,55900,171900,123500,91700,77300,64200,364800,119600,74900,127100,196600,134900,96700,93900,528700,81200,85400
Apr-04,159600,298200,77500,61600,80600,69000,69700,64700,86700,180900,84100,101800,273600,105300,102800,60100,77600,84500,124500,68000,66900,392900,95700,86300,114600,68600,418600,,86800,84300,99500,116900,258300,77500,66800,87900,370600,387200,134000,352600,425900,56400,173900,124400,93000,77800,64300,368600,122100,75400,128600,197900,136000,98400,94000,532600,81300,85800
May-04,161200,302200,78000,62300,81500,69000,70100,65300,87500,183900,84900,103600,276100,105500,104200,60500,77800,84700,126700,68500,67900,396300,96500,86600,115000,69400,422600,,86900,85000,99900,116300,261000,77200,67700,89100,374700,393000,135200,356200,430500,57100,176100,125500,94400,78400,64400,372700,125200,76000,130200,199900,137600,99800,94200,536700,81400,86400
Jun-04,163100,306100,78600,63000,82700,69000,70400,66000,88200,187000,84800,105400,279100,105600,105900,61000,77800,85200,129000,69000,68900,400100,97300,86900,115300,70300,427100,,87000,85700,100500,115500,264000,76000,68700,90300,378900,399600,136400,360200,435600,57800,178600,126900,95900,78900,64500,377100,128600,76600,131800,202500,139600,100500,94600,541500,81500,87100
Jul-04,165100,310000,79100,63700,83900,69100,70600,66800,89100,189900,83900,106900,282800,105600,107700,61600,77600,85700,131300,69600,70000,404900,98000,87400,115500,71200,432100,,87200,86200,101100,114900,267200,74200,69300,91600,383100,406400,137800,364400,441100,58500,181400,128500,97400,79200,64700,381700,132000,77200,133300,205800,141900,100500,94800,547400,81500,87900
Aug-04,167100,314100,79600,64400,84700,69300,70700,67600,90000,192600,82700,108300,287200,105600,109300,62000,77600,86200,133600,70200,71400,411000,98700,88000,115700,72000,437200,,87400,86700,101800,114700,270500,72200,69500,92700,387200,413400,139300,368700,446900,59100,184200,130400,98700,79400,64900,386300,135400,77700,134500,209400,144200,100200,95100,554300,81600,88500
Sep-04,168900,318900,80100,64900,85100,69500,70800,68600,90900,194900,81600,109400,291900,105800,110900,62600,78000,86500,136000,70800,72900,418600,99200,88600,115800,72900,442300,,87600,87200,102600,115100,274100,70800,69600,93700,391000,420600,140800,373100,452900,59300,186900,132300,100000,79400,65100,390700,138700,78200,135600,213200,146300,100000,95300,562200,81700,89100
Oct-04,170500,324300,80500,65400,85600,69800,71000,69500,91700,197200,81000,110300,295900,106200,112400,63300,78800,86900,138300,71400,74500,426900,99600,89200,115800,73800,447000,,87600,87900,103500,115700,277900,70400,69800,94800,394500,427700,142500,377900,458800,59200,189600,134300,101300,79200,65200,394900,141900,78700,136700,217100,148500,100200,95500,570900,81700,89500
Nov-04,171900,329700,81000,65800,86800,70200,71100,70400,92400,199500,80900,111000,298800,106800,113800,64000,79900,87700,140800,72000,76100,435400,99800,89700,116100,74700,451300,,87700,88600,104400,116400,281800,70800,70400,95900,397800,434500,144600,382800,464500,59000,192200,136300,102800,79000,65400,399000,144800,79300,137800,221000,150800,100900,95700,579900,81700,90000
Dec-04,173200,335300,81400,66300,88700,70700,71200,71200,93000,202000,81300,111800,301100,107600,115200,64800,81400,88800,143500,72600,77600,443300,99800,90200,116500,75800,455500,,87800,89200,105400,117100,285500,72100,71000,97300,400900,440600,146900,388200,470000,58700,194700,138200,104300,78800,65700,403200,147700,80100,138800,225000,153400,102000,95900,589000,81600,90500
Jan-05,174500,340800,81900,66600,90900,71200,71400,72000,93500,204600,81900,112600,303300,108400,116700,65600,82900,90100,146500,73300,78900,450700,99600,90500,116900,76900,459500,,88000,89800,106400,117800,288700,73800,71700,98800,403900,445600,149000,393800,475300,58500,197100,140200,105700,78800,65900,407600,150700,80800,139900,228900,156000,103200,96300,597400,81500,91000
Feb-05,175800,346100,82500,66800,93000,71600,71700,72500,93900,207300,82500,113600,305800,109300,118100,66400,84500,91300,149500,73900,79900,457600,99500,90900,117300,78000,463600,,88400,90100,107500,118400,291300,75700,72200,100300,406400,449500,150700,399300,480200,58400,199200,142200,107100,78900,66100,411700,153500,81700,140900,232400,158600,104500,96600,605000,81500,91700
Mar-05,177300,351500,83200,67000,94700,72000,72000,73000,94400,210000,83200,114700,308800,110200,119700,67300,86200,92200,152800,74600,80700,464900,99400,91500,117700,79300,467900,,88700,90100,108700,119400,293400,77700,72600,101600,408900,453400,152300,404800,484700,58200,201200,144000,108400,79100,66200,415600,155800,82700,141900,235600,161100,105800,96900,612100,81700,92400
Apr-05,178900,356900,83900,67100,95600,72500,72200,73500,95000,212400,83900,116100,312300,111000,121500,68300,87800,93000,156100,75300,81400,472500,99500,92100,118100,80700,472300,,89000,90100,109800,120600,295500,79600,73000,102400,411700,458100,153600,410200,488800,58100,203400,145800,109700,79400,66400,419400,157100,83700,142700,238500,163400,107300,97200,619000,81900,93100
May-05,180700,362000,84500,67100,95300,72900,72400,74300,95700,214400,84400,117600,315900,111900,123200,69200,89200,93700,159300,76000,82100,480000,99600,92900,118300,82100,476600,,89300,90100,110700,122200,297600,81400,73300,102300,414700,463800,154900,415200,492400,58100,205800,147600,110900,79800,66700,422800,157000,84600,143500,241100,165500,108900,97500,625500,82200,93800
Jun-05,182600,367000,85200,67100,94000,73300,72600,75300,96400,216000,85000,118900,319600,112600,124700,70100,90400,94500,162500,76600,82800,487300,99900,93700,118500,83500,480300,,89500,90000,111600,123800,299700,83000,73900,101700,417800,470100,156000,420000,495900,58000,208300,149200,112200,80200,67100,426100,155700,85500,144300,243600,167500,110600,97700,631700,82700,94400
Jul-05,184800,371800,85800,67100,92300,73600,72900,76600,97100,217400,85600,120200,322900,113200,126200,70900,91400,95400,165600,77100,83800,495200,100300,94700,118700,84900,483600,,89700,90000,112500,125300,301900,84100,74700,101100,420700,476700,157200,424600,499300,58100,210700,150900,113600,80600,67600,429200,154200,86300,145100,246000,169600,112300,97900,637400,83400,95100
Aug-05,187000,376400,86500,67200,90700,73700,73300,77900,97700,219200,86300,121400,325700,113700,127500,71700,92000,96200,168600,77800,84900,503400,100700,95600,119000,86300,486500,,89900,90100,113300,126400,303900,84800,75900,101300,423200,483400,158300,429100,502700,58300,213100,152400,115200,80900,68200,432100,153500,87000,145900,248100,171900,114100,98300,642200,84400,95600
Sep-05,188900,380600,87300,67400,89900,73700,73700,79100,98300,221700,86900,122700,328000,114200,128600,72400,92400,96700,171400,78500,86100,511500,101300,96500,119400,87600,489300,,90100,90300,114100,127200,305900,84900,77200,102600,425200,490100,159600,433500,505700,58800,215500,153800,116800,81200,68800,435000,154500,87700,146600,250100,174400,115800,98800,645800,85500,96200
Oct-05,190500,384600,88000,67700,89800,73600,74000,80200,98900,224600,87600,123900,330100,114700,129400,73000,92600,96700,174100,79400,87100,518700,101800,97400,119800,89000,491900,,90300,90800,114900,127700,307900,84600,78500,104700,426800,496800,160800,437500,508200,59500,217700,154900,118600,81500,69500,437800,157700,88300,147000,251600,177100,117400,99400,648400,86700,96700
Nov-05,191800,388700,88700,68000,90100,73500,74300,81100,99500,227600,88100,125100,332000,115300,130000,73500,92600,96100,176500,80300,88200,524700,102300,98200,120200,90200,494400,,90600,91400,115700,128000,309700,83900,79500,107100,427900,503600,162000,440900,510000,60200,219900,156000,120300,81800,70100,440300,162600,88900,147300,252800,179900,118700,100000,650100,88100,97200
Dec-05,192900,393000,89400,68400,90700,73600,74500,81800,100100,229700,88500,126200,333800,115800,130500,73900,92500,94800,178500,81100,89100,529100,102700,98800,120600,91400,496900,4380100,90800,91900,116300,128200,311600,82900,80000,109600,428500,510200,163200,443700,511600,60700,222100,157100,121700,82100,70600,442700,168200,89400,147700,253600,182500,119800,100300,651400,89500,97700
Jan-06,194000,396800,90000,68700,91500,73600,74800,82500,100800,230700,88900,127300,335600,116300,130900,74300,92400,93400,180200,82000,89900,532000,103100,99400,120900,92400,499200,4555100,91000,92600,116900,128400,313100,81800,80400,111900,428800,515700,164500,445800,513000,61100,224400,158400,123100,82400,71100,444900,172900,89900,148300,253900,184800,120600,100400,652700,91100,98100
Feb-06,195300,400200,90500,69000,92400,73700,75100,83300,101400,230700,89000,128300,337400,116800,131100,74600,92300,93000,181400,82800,90700,533400,103300,99800,121200,93200,501000,4718000,91100,93300,117400,128800,314400,80600,80600,113900,428600,520000,165800,447400,514200,61300,226600,159700,124200,82700,71600,446700,176000,90300,149300,253800,186900,121000,100600,653800,92600,98400
Mar-06,196800,403900,91200,69200,93300,73900,75600,84100,102000,230400,89100,129300,339000,117200,131500,74800,92200,93800,182200,83500,91500,534600,103600,100300,121400,94100,502500,4849700,91100,94100,117900,129100,315400,79600,80900,116000,428100,523600,167000,448500,515400,61500,228700,161200,125300,83000,72000,448300,178000,90700,150300,253500,188800,121100,100700,654600,94100,98700
Apr-06,198400,407800,91900,69400,94400,74100,76000,85000,102400,230100,89200,130300,340100,117500,132400,74900,92300,95300,182700,84100,92300,536300,103800,100700,121500,94900,503600,4922700,91200,94900,118600,129300,316300,78700,81400,118200,427800,527600,168300,449300,516100,61600,230600,162800,126400,83300,72400,449700,179400,91200,151400,253000,190400,121200,100800,654900,95400,99100
May-06,200000,411700,92600,69600,95600,74300,76400,85800,102600,230200,89300,131200,340600,117700,133100,75100,92600,96500,182900,84700,93200,538700,104100,101100,121600,95700,504300,4909700,91200,95600,119300,129400,317000,78200,81900,120600,427400,532100,169600,449900,516100,61800,232200,164300,127400,83500,72700,450300,180300,91800,152400,252400,191700,121300,101100,654400,96200,99500
Jun-06,201300,415300,93500,69600,96800,74400,76800,86200,102700,230400,89700,131800,340400,118100,133700,75200,93100,96700,182900,85400,94200,541100,104400,101500,121800,96500,504700,4814200,91400,96500,120000,129400,317700,78100,82400,123200,426700,536500,171100,450200,515500,62100,233500,165700,128300,83700,72900,450200,180900,92300,153100,251700,192700,121700,101400,653000,95900,100000
Jul-06,202400,418400,94500,69600,97800,74400,77200,86400,102800,230400,90300,132300,339800,118500,134400,75400,93900,96300,182900,86000,95400,543500,104900,101900,121900,97300,504700,4663900,91600,97400,120600,129500,318300,78300,82700,125400,425600,540100,172700,450200,514400,62400,234600,166800,129200,83900,73000,449400,181400,92800,153600,250900,193600,122500,101700,651200,94200,100700
Aug-06,203300,420600,95500,69600,98500,74400,77500,86200,103000,229900,91000,132600,338600,118900,135400,75800,94800,96400,183000,86300,96700,545100,105400,102200,122000,98000,504300,4501300,91900,98300,121200,129500,318800,78700,82700,126900,424200,542400,174200,450200,512900,62800,235500,167700,130100,84400,73100,448000,182100,93400,154000,250200,194400,123600,101900,649600,91300,101400
Sep-06,204000,422500,96400,69600,98700,74500,77800,85800,103300,229200,91700,132800,337400,119200,136500,76200,95900,97700,183000,86200,98200,545500,106100,102500,122000,98700,503600,4361800,92200,99200,121700,129600,318900,79300,82500,127400,422700,542300,175600,450200,511300,63200,236100,168300,130800,84900,73400,446300,182900,94200,154300,249700,195000,125000,102000,648500,88400,102300
Oct-06,204700,424200,97300,69700,98800,74800,78100,85500,103600,228400,92300,132800,336200,119600,137700,76700,96900,99400,182900,85700,99500,544500,106700,102800,122100,99400,502500,4270200,92500,99900,122100,129800,318500,80000,82300,127100,421300,539600,176700,450100,509600,63600,236600,168900,131400,85500,73800,444400,183700,94900,154600,249600,195300,126400,102200,647500,86200,103300
Nov-06,205400,426600,98000,69900,98600,75000,78300,85200,103900,227600,92800,132600,334900,119900,138900,77200,98000,100400,182600,85300,100800,542800,107300,103200,122200,100100,501000,4237900,92900,100400,122500,129900,317600,80700,82100,126400,419700,535400,177400,449800,507800,64200,237200,169200,131900,86200,74200,442200,184000,95600,155000,249600,195100,127800,102400,645700,85100,104500
Dec-06,206300,429500,98600,70000,98200,75200,78400,85000,104200,227200,93300,132600,333400,120000,140200,77700,99200,100200,182100,85100,101900,541100,107800,103600,122400,100800,499600,4263300,93200,100600,122700,129900,316300,81400,82200,125600,418200,531100,177900,449000,505800,64900,238200,169500,132500,86800,74700,440000,184100,96300,155300,249900,194900,129100,102600,643100,84900,105700
Jan-07,207200,431800,99200,70000,97800,75300,78400,85000,104400,227300,93700,132800,331800,120200,141400,78200,100400,99100,181700,85300,102900,540100,108100,104100,122600,101400,498200,4321900,93500,100800,123100,130000,315000,82000,82300,124900,417200,528000,178300,448000,503800,65700,239200,169600,133100,87400,75100,438300,183600,97000,155600,250100,194900,130200,102700,640500,85300,106900
Feb-07,207900,433300,99700,69900,97400,75200,78400,85100,104500,228000,94300,132900,330100,120300,142200,78800,101500,97800,181700,85800,104000,539200,108300,104400,122800,101800,496600,4388000,93800,101200,123400,130200,313800,82400,82600,124100,416300,526300,178400,447000,501800,66500,240000,169600,133600,88000,75500,436700,182200,97600,155900,250300,195200,131000,102900,637800,86000,108000
Mar-07,208400,435600,100200,69600,97100,74900,78500,85400,104800,229200,95100,133200,328500,120400,142900,79400,102500,96600,182700,86500,105100,538800,108400,104700,122900,102100,495300,4453700,94000,101800,123700,130300,313300,82800,83000,123500,415800,526000,178500,446200,499900,67100,240700,169500,134000,88500,75900,435100,180000,98200,156200,250500,195800,131600,103000,635600,86900,108900
Apr-07,208500,438500,100500,69300,97100,74700,78600,85600,105100,230200,95900,133600,327000,120400,143700,79800,103500,95800,184600,87100,106200,538900,108300,104900,123000,102100,494000,4509900,94200,102600,123800,130500,313200,83000,83300,123200,415800,526200,178300,445300,497900,67400,241300,169300,134300,88900,76400,433300,178400,99000,156600,250800,196600,132200,103100,634200,88100,109700
May-07,208300,440800,101000,69000,97300,74500,78700,85900,105400,231200,96700,133700,325900,120500,143800,80000,104300,95500,186600,87700,107400,538300,108200,105200,123100,101900,492400,4539400,94500,103300,123800,130900,313000,83400,83700,123100,415800,526200,177800,444100,496000,67500,241500,169100,134400,89100,76900,431100,177700,99600,157100,250800,197800,132900,103300,633600,89800,110400
Jun-07,208000,442100,101600,68800,97600,74500,78900,86200,105900,232100,97400,133600,325000,120500,143200,79900,104800,95700,187900,88000,108600,536400,108200,105500,123200,101600,490200,4557700,94900,104000,123800,131500,312200,83900,84000,123000,415100,525300,177100,442400,494400,67400,241400,168900,134300,89100,77500,428800,177900,99900,157600,250300,199200,133600,103600,633100,92200,111000
Jul-07,207600,442000,102300,68600,98100,74500,79000,86400,106400,233000,98000,133900,324000,120500,142100,79900,105100,95900,188400,88200,110000,534000,108200,105900,123300,101200,487600,4622600,95300,104600,123700,132000,310800,84600,84400,123300,413700,523700,176500,440500,492800,67100,241100,168700,134200,89100,78300,426600,178500,99900,158100,249600,200600,134200,104000,632000,95300,111600
Aug-07,207200,440700,103000,68600,98400,74600,78900,86600,106800,233800,98300,134400,322700,120500,140700,80000,105400,96000,188200,88100,111300,531700,108400,106500,123500,100800,484900,4769900,95500,105000,123700,132500,309200,85400,84700,123900,411900,522200,176000,438200,491200,66800,240700,168600,134100,89100,79100,424500,179000,100000,158600,248800,201800,134600,104500,630300,98500,112200
Sep-07,206900,438900,103900,68600,98700,74700,78600,87000,107200,234300,98500,135300,321100,120400,139500,80200,105300,95700,187700,88000,112500,529300,108600,107100,123700,100600,482300,4985200,95600,105200,123700,133000,307600,85900,85100,124600,409800,521100,175800,435900,489500,66500,240100,168200,134000,89100,79700,422700,179100,100100,158900,247900,202500,134800,104900,628300,101000,112900
Oct-07,206400,436700,104900,68700,98900,74700,78200,87300,107500,234000,98400,136300,319500,120300,138500,80500,105100,95200,187100,87800,113400,526700,108700,107600,123800,100600,480000,5218800,95500,105300,123700,133500,306200,86200,85500,125400,407000,520400,175700,433800,487400,66300,239300,167600,133900,89200,80100,420900,178700,100100,159200,246700,202600,134600,105300,625600,102400,113600
Nov-07,205700,434900,105800,68800,99100,74800,77800,87600,107900,233100,98300,137100,318000,120300,138100,80900,104700,94700,186400,87500,114200,524500,108800,108200,123900,100900,477600,5423900,95400,105400,123600,133900,305000,86200,85700,126100,403800,520200,175600,431800,484800,66200,238100,166800,133800,89500,80300,418700,177500,100000,159400,245200,202000,134100,105600,622400,102800,114200
Dec-07,205000,433200,106600,69000,99100,74700,77500,87900,108100,231300,98300,137700,316500,120300,138600,81100,104300,94500,185500,87100,114700,523500,108800,108600,123900,101400,475100,5570800,95200,105500,123500,134400,303800,86100,85700,127000,400800,519500,175600,429600,481800,66200,236600,166100,133600,89600,80100,416400,176000,100000,159500,243500,201000,133500,106000,619200,102300,114800
Jan-08,204500,429700,107100,69100,99100,74600,77500,88300,108100,229600,98300,138000,314700,120400,139300,81400,103800,94400,184600,86800,115000,524500,108800,109100,123800,101700,472300,5657800,94900,105600,123400,134700,302300,85700,85500,127800,398500,517700,175600,427500,478700,66300,234800,165500,133300,89600,79800,413900,174700,99900,159500,241400,199800,133100,106400,616400,101300,115300
Feb-08,204100,424200,107700,69300,99300,74300,77800,88400,108100,228200,98200,137800,312600,120500,139500,81700,103100,94500,183900,86400,115300,526100,108800,109400,123800,101800,468900,5687200,94800,105600,123100,135100,300400,85300,85400,128300,396600,514500,175600,425800,476100,66600,232700,165100,132700,89500,79500,411100,173400,99800,159700,239300,198300,132700,106800,613400,99800,115500
Mar-08,204000,419100,108200,69600,99600,74100,78200,88300,108100,227100,98100,137900,310300,120700,140000,82000,102600,94600,183500,85800,115500,528400,108900,109800,123700,101700,465800,5685300,94700,105400,122700,135300,298400,84700,85100,128900,395200,510400,175700,424400,473900,66800,231000,164900,132000,89300,79200,407700,172200,99600,159800,237500,196600,132600,107000,610100,98200,115400
Apr-08,203800,414700,108500,70000,100000,73900,78800,88100,108000,225900,97900,137800,307600,121000,140700,82200,102300,94500,183400,85300,115600,530300,108900,110200,123700,101500,462600,5665900,94600,105000,122400,135300,295900,84000,84800,129600,394400,505000,175900,422900,471400,66800,229700,164800,131200,88900,79000,403900,171700,99700,159700,235600,194600,132600,106700,606800,96500,115100
May-08,203500,410300,108800,70300,100600,73700,79200,88100,107800,224600,97700,137000,304900,121100,140900,81800,102000,94500,183300,84800,115600,530100,109000,110500,123800,101300,458800,5623800,94600,104400,122200,135100,293200,83500,84600,129900,393300,499000,176200,421100,468500,66800,229000,164500,130400,88400,78700,399500,171600,99900,159600,233500,193000,132700,106000,603200,94800,114600
Jun-08,202900,405900,108900,70500,101100,73600,79400,88100,107500,223100,97700,135200,302400,121200,140400,81200,101500,94500,182800,84500,115500,526800,109100,110700,123800,101100,454300,5564700,94600,103800,122100,135000,290100,83200,84400,130000,391200,493000,176500,418800,465300,66800,228900,164300,129400,87900,78200,395400,171200,99800,159600,231100,191800,132800,105300,598600,93300,114000
Jul-08,202300,401900,108900,70700,101400,73500,79600,87700,107300,221800,97700,133600,300000,121200,140000,80700,101300,94600,181900,84300,115200,522100,109200,110600,123800,100900,449300,5542900,94600,103400,122100,135000,287200,83000,84400,129800,388100,487900,176300,416200,462000,66800,228700,164100,128700,87600,77700,391600,170300,99700,159700,229100,191100,132500,104700,593300,92500,113500
Aug-08,201700,398000,108800,70800,101300,73600,79700,87100,107200,220500,97900,132200,297300,121100,139300,80400,101100,94500,180700,84200,114800,517500,109300,110500,123800,100500,444300,5572900,94700,103300,122000,135100,284200,83100,84500,129200,385200,483600,175700,413500,458400,66800,228200,163800,128200,87400,77400,388000,168800,99500,159600,227800,190600,131800,104400,588000,92400,113100
Sep-08,201200,394400,108700,70800,101100,73700,79900,86300,107300,219200,97900,130900,294600,121000,138600,80400,100900,94300,179400,84200,114100,513400,109500,110200,123800,100000,439700,5621700,94900,103200,121800,135100,281400,83100,84700,128300,382600,479400,174800,410900,454700,66800,227600,163500,127800,87300,77200,384500,166900,99500,159600,227000,190000,130800,104200,583400,92600,112900
Oct-08,200800,390800,108600,70700,100800,73800,80100,85700,107300,217600,97900,129200,292000,120900,137800,80300,100600,94200,178200,84300,113300,509000,109500,109900,123800,99700,435500,5657400,95100,103200,121700,135200,278700,83100,84900,127400,380100,475300,173700,408600,450900,66800,227200,163100,127400,87100,77100,381100,164700,99400,159700,226000,189400,129800,104000,579100,92900,112600
Nov-08,200600,388300,108400,70600,100500,73900,80300,85000,107300,216000,97900,127500,289600,120800,136800,80100,100300,94300,176800,84300,112600,504300,109600,109600,123800,99500,431500,5682300,95400,103300,121600,135300,276100,83000,85100,126500,377300,472000,172700,406500,446900,66800,226900,162700,127100,87000,77000,377500,162100,99200,159900,225000,188700,128900,103700,574700,93200,112400
Dec-08,200600,386100,108200,70500,100200,74000,80500,84500,107300,214400,97800,126100,287400,120700,136200,79900,100200,94700,175400,84300,112100,499500,109700,109300,123800,99500,427800,5708100,95700,103300,121500,135300,273600,82900,85200,125900,374900,468900,171700,404300,442800,66800,227000,162400,126800,86800,76900,374200,159800,99100,160100,224000,188100,128200,103500,570400,93600,112300
Jan-09,200700,382200,108100,70500,99900,74100,80700,84300,107300,213000,97900,125200,285200,120600,135800,79700,100300,95100,174100,84400,111700,495100,109900,109100,123800,99400,424200,5749000,96000,103400,121500,135500,271100,82800,85300,125300,372400,465600,170900,402400,439200,67000,227300,162300,126600,86600,77000,371400,158400,99100,160400,223100,187900,127900,103500,566400,93900,112100
Feb-09,200700,377000,108200,70500,99800,74300,80900,84000,107400,212300,98000,124200,283200,120500,135000,79900,100200,95500,173100,84500,111500,490200,110000,109000,123900,99100,420500,5795800,96300,103500,121500,135800,268700,82800,85500,124700,369300,461900,170200,400900,436100,67500,227500,162100,126400,86600,77000,369100,157100,99200,160900,222300,187900,127700,103500,562200,94100,112000
Mar-09,200500,372900,108500,70700,99800,74500,81000,83400,107600,211700,98000,123800,281400,120500,134600,80500,100200,95600,172200,84600,111300,485700,110200,108900,124000,98700,417300,5855200,96700,103600,121600,136100,266700,82700,85600,124200,366000,458200,169400,399800,433200,68000,227700,161900,126300,86600,77200,366600,156000,99400,161200,221900,187800,127400,103500,557600,94300,112000
Apr-09,200200,369500,108700,70900,99900,74700,81200,82800,107800,210800,98100,123700,279400,120500,134800,80900,100400,95500,171500,84500,110900,481500,110300,108700,123900,98300,414100,5923300,96900,103600,121600,136300,264800,82600,85600,123900,363500,454700,168500,398700,429800,68300,227700,161600,126200,86700,77400,363500,155700,99900,161100,221800,187500,127200,103400,553000,94500,111900
May-09,199600,366200,108900,71100,100000,74900,81300,82600,107800,209600,98200,123000,277300,120400,134600,80900,100600,95400,170500,84500,110400,476700,110500,108600,123900,97900,410000,5974100,97100,103600,121500,136500,262800,82500,85500,123200,361300,451100,167600,396800,425900,68500,227400,161100,126100,86600,77500,359700,155800,100400,160900,221300,187000,126700,103300,548100,94500,111800
Jun-09,198800,363000,108900,71300,100000,75100,81400,82400,107700,208700,98300,122300,275000,120300,134100,80500,100600,95300,169200,84500,110100,471000,110600,108400,123900,97800,405800,5990200,97300,103400,121400,136600,260700,82600,85600,122400,358400,447500,167000,394600,421600,68600,227000,160700,125700,86500,77600,356400,155700,100500,160700,220200,186400,126200,103300,542500,94500,111600
Jul-09,198300,360300,108800,71500,100400,75200,81600,82300,107600,209200,98500,122800,272300,120300,134100,80000,100800,95400,167900,84600,110000,467000,110800,108300,123900,98200,402600,5994500,97400,103000,121200,136500,258700,82900,85700,121800,354800,445100,166800,393000,417400,68600,226900,160400,125300,86400,77800,355200,155500,100200,160500,218900,185900,126100,103400,537200,94400,111200
